year,month,lesserSpottedDogfish,redMullet,pouting,whiting,poorCod,cod,dragonet,sole,plaice,horseMackerel,mackerel,herring,sardine,squids,cuttlefish,thornbackRay
2002,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22
2002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,5,NA,NA,NA,NA,NA,2878,NA,NA,NA,NA,33056,NA,NA,NA,NA,NA
2002,6,NA,NA,NA,80277,NA,NA,NA,23108,24914,NA,NA,NA,NA,NA,NA,NA
2002,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,8,NA,151.74,NA,NA,NA,NA,NA,NA,NA,425,NA,NA,NA,NA,NA,NA
2002,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384902,NA,NA,NA,NA
2002,10,NA,NA,5989512,NA,3818271,NA,1560389,NA,NA,NA,NA,NA,NA,5181046,2556526,NA
2002,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22
2003,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,5,NA,NA,NA,NA,NA,5701,NA,NA,NA,NA,50259,NA,NA,NA,NA,NA
2003,6,NA,NA,NA,84148,NA,NA,NA,25131,36650,NA,NA,NA,NA,NA,NA,NA
2003,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,8,NA,269.3,NA,NA,NA,NA,NA,NA,NA,288,NA,NA,NA,NA,NA,NA
2003,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460876,NA,NA,NA,NA
2003,10,NA,NA,16748756,NA,9264205,NA,662965,NA,NA,NA,NA,NA,NA,8671069,1254795,NA
2003,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23
2004,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,5,NA,NA,NA,NA,NA,2619,NA,NA,NA,NA,52082,NA,NA,NA,NA,NA
2004,6,NA,NA,NA,110318,NA,NA,NA,18910,44762,NA,NA,NA,NA,NA,NA,NA
2004,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,8,0.58,299.86,NA,NA,NA,NA,NA,NA,NA,351,NA,NA,NA,NA,NA,NA
2004,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348300,NA,NA,NA,NA
2004,10,NA,NA,4834197,NA,3905278,NA,688121,NA,NA,NA,NA,NA,NA,4461185,2055412,NA
2004,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24
2005,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,5,NA,NA,NA,NA,NA,3055,NA,NA,NA,NA,42405,NA,NA,NA,NA,NA
2005,6,NA,NA,NA,102899,NA,NA,NA,23041,32595,NA,NA,NA,NA,NA,NA,NA
2005,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,8,0.64,147.44,NA,NA,NA,NA,NA,NA,NA,658,NA,NA,NA,NA,NA,NA
2005,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310629,NA,NA,NA,NA
2005,10,NA,NA,9275597,NA,4724580,NA,501246,NA,NA,NA,NA,NA,NA,4993143,1127631,NA
2005,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25
2006,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,5,NA,NA,NA,NA,NA,5073,NA,NA,NA,NA,49887,NA,NA,NA,NA,NA
2006,6,NA,NA,NA,96372,NA,NA,NA,23966,30256,NA,NA,NA,NA,NA,NA,NA
2006,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,8,0.56,190.78,NA,NA,NA,NA,NA,NA,NA,697,NA,NA,NA,NA,NA,NA
2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255071,NA,NA,NA,NA
2006,10,NA,NA,20190908,NA,3371730,NA,700307,NA,NA,NA,NA,NA,NA,3811579,2197183,NA
2006,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27
2007,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,5,NA,NA,NA,NA,NA,8936,NA,NA,NA,NA,32904,NA,NA,NA,NA,NA
2007,6,NA,NA,NA,83287,NA,NA,NA,20055,26037,NA,NA,NA,NA,NA,NA,NA
2007,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,8,0.81,611.74,NA,NA,NA,NA,NA,NA,NA,344,NA,NA,NA,NA,NA,NA
2007,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185974,NA,NA,NA,NA
2007,10,NA,NA,8837251,NA,3933821,NA,841703,NA,NA,NA,NA,NA,NA,3356596,1626979,NA
2007,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3
2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,NA,NA,NA,NA,NA,7559,NA,NA,NA,NA,28450,NA,NA,NA,NA,NA
2008,6,NA,NA,NA,76656,NA,NA,NA,20003,28767,NA,NA,NA,NA,NA,NA,NA
2008,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,0.74,76.13,NA,NA,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,NA
2008,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231196,NA,NA,NA,NA
2008,10,NA,NA,3483425,NA,2960343,NA,790005,NA,NA,NA,NA,NA,NA,2702150,795382,NA
2008,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33
2009,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,5,NA,NA,NA,NA,NA,7020,NA,NA,NA,NA,40545,NA,NA,NA,NA,NA
2009,6,NA,NA,NA,125923,NA,NA,NA,22027,44819,NA,NA,NA,NA,NA,NA,NA
2009,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,8,0.66,126.18,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA
2009,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283645,NA,NA,NA,NA
2009,10,NA,NA,10203669,NA,1202383,NA,785948,NA,NA,NA,NA,NA,NA,8410351,1028985,NA
2009,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37
2010,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,5,NA,NA,NA,NA,NA,6147,NA,NA,NA,NA,32916,NA,NA,NA,NA,NA
2010,6,NA,NA,NA,167353,NA,NA,NA,21768,62739,NA,NA,NA,NA,NA,NA,NA
2010,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,8,0.82,82.6,NA,NA,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,NA
2010,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361137,NA,NA,NA,NA
2010,10,NA,NA,2977525,NA,2135694,NA,706073,NA,NA,NA,NA,NA,NA,3565735,971573,NA
2010,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41
2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,5,NA,NA,NA,NA,NA,5255,NA,NA,NA,NA,44837,NA,NA,NA,NA,NA
2011,6,NA,NA,NA,101544,NA,NA,NA,21266,90154,NA,NA,NA,NA,NA,NA,NA
2011,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,8,0.81,49.29,NA,NA,NA,NA,NA,NA,NA,234,NA,NA,NA,NA,NA,NA
2011,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362299,NA,NA,NA,NA
2011,10,NA,NA,2592326,NA,1671329,NA,529600,NA,NA,NA,NA,NA,NA,3711548,306712,NA
2011,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46
2012,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,5,NA,NA,NA,NA,NA,4554,NA,NA,NA,NA,39037,NA,NA,NA,NA,NA
2012,6,NA,NA,NA,70801,NA,NA,NA,19202,86686,NA,NA,NA,NA,NA,NA,NA
2012,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,8,0.95,36.64,NA,NA,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,NA,NA
2012,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273076,NA,NA,NA,NA
2012,10,NA,NA,2204889,NA,2363161,NA,546639,NA,NA,NA,NA,NA,NA,3313601,991755,NA
2012,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54
2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,5,NA,NA,NA,NA,NA,4435,NA,NA,NA,NA,37289,NA,NA,NA,NA,NA
2013,6,NA,NA,NA,67100,NA,NA,NA,20206,90570,NA,NA,NA,NA,NA,NA,NA
2013,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,8,1.18,22.63,NA,NA,NA,NA,NA,NA,NA,188,NA,NA,NA,NA,NA,NA
2013,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267930,NA,NA,NA,NA
2013,10,NA,NA,14887517,NA,1911936,NA,387762,NA,NA,NA,NA,NA,NA,3872515,439460,NA
2013,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61
2014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,5,NA,NA,NA,NA,NA,6675,NA,NA,NA,NA,26239,NA,NA,NA,NA,NA
2014,6,NA,NA,NA,85045,NA,NA,NA,18971,98679,NA,NA,NA,NA,NA,NA,NA
2014,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,8,1.07,398.12,NA,NA,NA,NA,NA,NA,NA,329,NA,NA,NA,NA,NA,NA
2014,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235931,NA,NA,NA,NA
2014,10,NA,NA,5775362,NA,4770207,NA,422856,NA,NA,NA,NA,NA,NA,6401396,499434,NA
2014,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68
2015,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,5,NA,NA,NA,NA,NA,6569,NA,NA,NA,NA,37014,NA,NA,NA,NA,NA
2015,6,NA,NA,NA,89715,NA,NA,NA,16737,95109,NA,NA,NA,NA,NA,NA,NA
2015,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,8,1.43,449.65,NA,NA,NA,NA,NA,NA,NA,447,NA,NA,NA,NA,NA,NA
2015,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334943,NA,NA,NA,NA
2015,10,NA,NA,5447547,NA,1849380,NA,96406,NA,NA,NA,NA,NA,NA,2993817,411993,NA
2015,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74
2016,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,5,NA,NA,NA,NA,NA,2099,NA,NA,NA,NA,50069,NA,NA,NA,NA,NA
2016,6,NA,NA,NA,80928,NA,NA,NA,16123,118265,NA,NA,NA,NA,NA,NA,NA
2016,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,8,1.26,116.68,NA,NA,NA,NA,NA,NA,NA,519,NA,NA,NA,NA,NA,NA
2016,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274424,NA,NA,NA,NA
2016,10,NA,NA,578219,NA,2072063,NA,51731,NA,NA,NA,NA,NA,NA,2861428,285992,NA
2016,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
2017,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,5,NA,NA,NA,NA,NA,750,NA,NA,NA,NA,35359,NA,NA,NA,NA,NA
2017,6,NA,NA,NA,60694,NA,NA,NA,14946,101225,NA,NA,NA,NA,NA,NA,NA
2017,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,8,1.04,160.89,NA,NA,NA,NA,NA,NA,NA,134,NA,NA,NA,NA,NA,NA
2017,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211257,NA,NA,NA,NA
2017,10,NA,NA,597889,NA,3023203,NA,435709,NA,NA,NA,NA,NA,174637,7246383,435568,NA
2017,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
2018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,5,NA,NA,NA,NA,NA,263,NA,NA,NA,NA,33189,NA,NA,NA,NA,NA
2018,6,NA,NA,NA,69007,NA,NA,NA,14683,74884,NA,NA,NA,NA,NA,NA,NA
2018,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,8,1.28,174.55,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA,NA
2018,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209859,NA,NA,NA,NA
2018,10,NA,NA,135544,NA,432731,NA,142016,NA,NA,NA,NA,NA,145514,5518004,589615,NA
2018,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
2019,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,5,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,28679,NA,NA,NA,NA,NA
2019,6,NA,NA,NA,62363,NA,NA,NA,13538,80287,NA,NA,NA,NA,NA,NA,NA
2019,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,8,1.13,482.9,NA,NA,NA,NA,NA,NA,NA,201,NA,NA,NA,NA,NA,NA
2019,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205477,NA,NA,NA,NA
2019,10,NA,NA,774384,NA,1220429,NA,378811,NA,NA,NA,NA,NA,374617,3524974,2288221,NA
2019,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,NA,NA,NA,NA,NA,169,NA,NA,NA,NA,29289,NA,NA,NA,NA,NA
2020,6,NA,NA,NA,110498,NA,NA,NA,13290,89668,NA,NA,NA,NA,NA,NA,NA
2020,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,8,1.25,331.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191160,NA,NA,NA,NA
2020,10,NA,NA,6957115,NA,828146,NA,410075,NA,NA,NA,NA,NA,332098,3709772,1899694,NA
2020,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05
2021,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,5,NA,NA,NA,NA,NA,182,NA,NA,NA,NA,32037,NA,NA,NA,NA,NA
2021,6,NA,NA,NA,75890,NA,NA,NA,14622,72677,NA,NA,NA,NA,NA,NA,NA
2021,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,8,1.52,238.12,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,NA
2021,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175575,NA,NA,NA,NA
2021,10,NA,NA,18242519,NA,1704043,NA,639881,NA,NA,NA,NA,NA,227117,6573717,1712254,NA
2021,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
