v Prey / Predator >;lesser-spotted-dogfish < 0.45 year;lesser-spotted-dogfish > 0.45 year;red-mullet < 0.25 year;red-mullet > 0.25 year;pouting < 0.25 year;pouting > 0.25 year;whiting < 0.25 year;whiting > 0.25 year;poor-cod < 0.25 year;poor-cod > 0.25 year;cod < 0.4 year;cod > 0.4 year;dragonet < 0.25 year;dragonet > 0.25 year;sole < 0.15 year;sole > 0.15 year;plaice < 0.25 year;plaice > 0.25 year;horse-mackerel;mackerel;herring;sardine;squids < 0.125 year;squids > 0.125 year;cuttlefish
lesser-spotted-dogfish < 0.45 year;0.05;0;0;0.05;0;0;0;0;0;0;0;0;0;0.05;0;0.05;0;0.05;0;0;0;0;0.05;0;0.05
lesser-spotted-dogfish > 0.45 year;0;0.8;0.4;0;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0;0.4;0;0.4;0;0.4;0.4;0.4;0.4;0;0.4;0
red-mullet < 0.25 year;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0
red-mullet > 0.25 year;0.8;0.4;0;0.8;0;0.4;0;0.4;0;0.4;0;0.4;0;0.8;0;0.8;0;0.8;0;0;0;0;0.8;0;0.8
pouting < 0.25 year;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0
pouting > 0.25 year;0;0.8;0.4;0;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0;0.4;0;0.4;0;0.4;0.4;0.4;0.4;0;0.4;0
whiting < 0.25 year;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0
whiting > 0.25 year;0;0.8;0.4;0;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0;0.4;0;0.4;0;0.4;0.4;0.4;0.4;0;0.4;0
poor-cod < 0.25 year;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0
poor-cod > 0.25 year;0;0.8;0.4;0;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0;0.4;0;0.4;0;0.4;0.4;0.4;0.4;0;0.4;0
cod < 0.4 year;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0
cod > 0.4 year;0;0.8;0.4;0;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0;0.4;0;0.4;0;0.4;0.4;0.4;0.4;0;0.4;0
dragonet < 0.25 year;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0
dragonet > 0.25 year;0.8;0.4;0;0.8;0;0.4;0;0.4;0;0.4;0;0.4;0;0.8;0;0.8;0;0.8;0;0;0;0;0.8;0;0.8
sole < 0.15 year;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0
sole > 0.15 year;0.8;0.4;0;0.8;0;0.4;0;0.4;0;0.4;0;0.4;0;0.8;0;0.8;0;0.8;0;0;0;0;0.8;0;0.8
plaice < 0.25 year;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0
plaice > 0.25 year;0.8;0.4;0;0.8;0;0.4;0;0.4;0;0.4;0;0.4;0;0.8;0;0.8;0;0.8;0;0;0;0;0.8;0;0.8
horse-mackerel;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0
mackerel;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0
herring;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0
sardine;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0
squids < 0.125 year;0.05;0;0;0.05;0;0;0;0;0;0;0;0;0;0.05;0;0.05;0;0.05;0;0;0;0;0.05;0;0.05
squids > 0.125 year;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0
cuttlefish;0.8;0.8;0;0.8;0;0.8;0;0.8;0;0.8;0;0.8;0;0.8;0;0.8;0;0.8;0;0;0;0;0.8;0;0.8
Dinoflagellates;0;0.5;1;0;1;0.5;1;0.5;1;0.5;1;0.5;1;0;1;0;1;0;1;1;1;1;0;1;0
Diatoms;0;0.5;1;0;1;0.5;1;0.5;1;0.5;1;0.5;1;0;1;0;1;0;1;1;1;1;0;1;0
Microzoo;0;0.5;1;0;1;0.5;1;0.5;1;0.5;1;0.5;1;0;1;0;1;0;1;1;1;1;0;1;0
Mesozoo;0;0.5;1;0;1;0.5;1;0.5;1;0.5;1;0.5;1;0;1;0;1;0;1;1;1;1;0;1;0
Macrozoo;0;0.5;1;0;1;0.5;1;0.5;1;0.5;1;0.5;1;0;1;0;1;0;1;1;1;1;0;1;0
VSBVerySmallBenthos;1;0.5;0;1;0;0.5;0;0.5;0;0.5;0;0.5;0;1;0;1;0;1;0;0;0;0;1;0;1
SmallBenthos;1;0.5;0;1;0;0.5;0;0.5;0;0.5;0;0.5;0;1;0;1;0;1;0;0;0;0;1;0;1
MediumBenthos;1;0.5;0;1;0;0.5;0;0.5;0;0.5;0;0.5;0;1;0;1;0;1;0;0;0;0;1;0;1
LargeBenthos;1;0.5;0;1;0;0.5;0;0.5;0;0.5;0;0.5;0;1;0;1;0;1;0;0;0;0;1;0;1
VLBVeryLargeBenthos;1;0.5;0;1;0;0.5;0;0.5;0;0.5;0;0.5;0;1;0;1;0;1;0;0;0;0;1;0;1
